Имя функции; Истинный минимум; Расчитанный минимум; Значение функции; Шаги; Погрешность
Himmelblau function:; (-2.805118, 3.283186); (-2.8087712528660678, 3.130693112439878); 0.0004523041873002168; 100; 0.15253664154204902
Rosenbrock function:; (1, 1); (1.0134041589034808, 1.0284917440860266); 0.00040579932671104; 100; 0.03148731422292788
Sphere Function:; (0, 0); (-2.2275964555040132e-11, -3.7236982367255786e-11); 1.8828114526767226e-21; 100; 4.3391375325941477e-11
MICHALEWICZ FUNCTION:; (2.2, 1.57); (2.216606081713704, 1.5671971060840053); -1.7977167976479416; 100; 0.01684096684239135
ZAKHAROV FUNCTION:; (0, 0); (3.9582117071204123e-10, -1.1273854644619378e-10); 1.7663865525070851e-19; 100; 4.115633353915913e-10
GRIEWANK FUNCTION:; (0, 0); (2.97500906453891e-09, -9.289639364840276e-09); 0.0; 100; 9.754387651866145e-09
